mol,M+H,M+H[C13],M+H[2C13],M+K,M+Na,M+K[C13],M+Na[C13],[M+CH2O2]+H,[M+CH3OH]+H,[M+ACN]+H,[M+NH3]+H,2M+H,M+K[2C13],M+Na[2C13],[M+CH2O2]+H[C13],[M+CH3OH]+H[C13],[M+ACN]+H[C13],[M+NH3]+H[C13],2M+H[C13],M+2H,[M-CO]+H,[M-C2H2]+H,[M-CH2O2]+H,[M-NH3]+H,[M-H2O]+H,[M+CH2O2]+H[2C13],[M+CH3OH]+H[2C13],[M+ACN]+H[2C13],[M+NH3]+H[2C13],2M+H[2C13],2M+H[3C13],2M+H[4C13],M+2H[C13],[M-CO]+H[C13],[M-C2H2]+H[C13],[M-CH2O2]+H[C13],[M-NH3]+H[C13],[M-H2O]+H[C13],[M+CH2O2]+K,[M+CH3OH]+K,[M+ACN]+K,[M+NH3]+K,[M+CH2O2]+Na,[M+CH3OH]+Na,[M+ACN]+Na,[M+NH3]+Na,M+2H[2C13],[M-CO]+H[2C13],[M-C2H2]+H[2C13],[M-CH2O2]+H[2C13],[M-NH3]+H[2C13],[M-H2O]+H[2C13],[M+CH2O2]+K[C13],[M+CH3OH]+K[C13],[M+ACN]+K[C13],[M+NH3]+K[C13],[M+CH2O2]+Na[C13],[M+CH3OH]+Na[C13],[M+ACN]+Na[C13],[M+NH3]+Na[C13],[2M+CH2O2]+H,[2M+CH3OH]+H,[2M+ACN]+H,[2M+NH3]+H,[M-CO]+K,[M-C2H2]+K,[M-CH2O2]+K,[M-NH3]+K,[M-H2O]+K,[M-CO]+Na,[M-C2H2]+Na,[M-CH2O2]+Na,[M-NH3]+Na,[M-H2O]+Na,[M+CH2O2]+K[2C13],[M+CH3OH]+K[2C13],[M+ACN]+K[2C13],[M+NH3]+K[2C13],[M+CH2O2]+Na[2C13],[M+CH3OH]+Na[2C13],[M+ACN]+Na[2C13],[M+NH3]+Na[2C13],[2M+CH2O2]+H[C13],[2M+CH3OH]+H[C13],[2M+ACN]+H[C13],[2M+NH3]+H[C13],[M-CO]+K[C13],[M-C2H2]+K[C13],[M-CH2O2]+K[C13],[M-NH3]+K[C13],[M-H2O]+K[C13],[M-CO]+Na[C13],[M-C2H2]+Na[C13],[M-CH2O2]+Na[C13],[M-NH3]+Na[C13],[M-H2O]+Na[C13],[M+CH2O2]+2H,[M+CH3OH]+2H,[M+ACN]+2H,[M+NH3]+2H,[2M-CO]+H,[2M-C2H2]+H,[2M-CH2O2]+H,[2M-NH3]+H,[2M-H2O]+H,[2M+CH2O2]+H[2C13],[2M+CH2O2]+H[3C13],[2M+CH2O2]+H[4C13],[2M+CH3OH]+H[2C13],[2M+CH3OH]+H[3C13],[2M+CH3OH]+H[4C13],[2M+ACN]+H[2C13],[2M+ACN]+H[3C13],[2M+ACN]+H[4C13],[2M+NH3]+H[2C13],[2M+NH3]+H[3C13],[2M+NH3]+H[4C13],[M-CO]+K[2C13],[M-C2H2]+K[2C13],[M-CH2O2]+K[2C13],[M-NH3]+K[2C13],[M-H2O]+K[2C13],[M-CO]+Na[2C13],[M-C2H2]+Na[2C13],[M-CH2O2]+Na[2C13],[M-NH3]+Na[2C13],[M-H2O]+Na[2C13],[M+CH2O2]+2H[C13],[M+CH3OH]+2H[C13],[M+ACN]+2H[C13],[M+NH3]+2H[C13],[2M-CO]+H[C13],[2M-C2H2]+H[C13],[2M-CH2O2]+H[C13],[2M-NH3]+H[C13],[2M-H2O]+H[C13],[M-CO]+2H,[M-C2H2]+2H,[M-CH2O2]+2H,[M-NH3]+2H,[M-H2O]+2H,[M+CH2O2]+2H[2C13],[M+CH3OH]+2H[2C13],[M+ACN]+2H[2C13],[M+NH3]+2H[2C13],[2M-CO]+H[2C13],[2M-CO]+H[3C13],[2M-CO]+H[4C13],[2M-C2H2]+H[2C13],[2M-C2H2]+H[3C13],[2M-C2H2]+H[4C13],[2M-CH2O2]+H[2C13],[2M-CH2O2]+H[3C13],[2M-CH2O2]+H[4C13],[2M-NH3]+H[2C13],[2M-NH3]+H[3C13],[2M-NH3]+H[4C13],[2M-H2O]+H[2C13],[2M-H2O]+H[3C13],[2M-H2O]+H[4C13],[M-CO]+2H[C13],[M-C2H2]+2H[C13],[M-CH2O2]+2H[C13],[M-NH3]+2H[C13],[M-H2O]+2H[C13],[M-CO]+2H[2C13],[M-C2H2]+2H[2C13],[M-CH2O2]+2H[2C13],[M-NH3]+2H[2C13],[M-H2O]+2H[2C13]
Betaine,1.00e+09,5.40e+07,,,2.54e+06,,,,,,,1.55e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cytosine,3.89e+08,1.67e+07,,,5.88e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choline,2.16e+08,1.71e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aminopropan-2-ol,9.77e+06,3.95e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Arginine,1.94e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Ornithine,1.11e+07,5.71e+05,,9.83e+04,2.23e+05,,,,,,,,,,,,,,,,,,,4.27e+06,,,,,,,,,,,,,2.20e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Methoxytryptamine,9.96e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selenomethionine,1.00e+09,5.40e+07,,,2.54e+06,,,,,,,1.55e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,8.40e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Aminocyclopropane-1-carboxylate,1.66e+07,6.63e+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N(pi)-Methyl-L-histidine,1.49e+08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Carnitine,1.82e+08,1.42e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyridoxine,3.37e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Alanine,5.81e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
